n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,70.0,63.0409118365,62.2274373725,62.8014502572,61.5967400593,61.2231357514
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,70.0,61.5152577444,61.7342164695,63.2707663263,62.8789200941,61.8357594244
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,70.0,62.313886463,61.6375262736,61.7893835888,62.3705551244,61.5818710519
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,70.0,60.8956714467,60.3131516051,61.1367450633,60.2614298006,61.1419217497
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,70.0,60.7209800689,62.3851429253,60.7280815263,61.169238167,59.9651828807
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,72.0,73.2103451263,71.8626589263,72.0709521433,72.9740613953,72.287728635
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,72.0,72.394440016,71.7282443154,71.6745413634,72.0937546857,71.7624445967
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,72.0,71.7395468994,70.8550669885,71.0441009139,71.063979289,71.9481052234
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,72.0,70.4878839811,69.7482797688,70.1190332334,71.1071476885,70.9474832158
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,72.0,70.8432221195,71.5474636922,70.9262710107,70.4288618644,71.3999838038
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,72.0,69.8871939475,69.9304185596,69.7449846495,70.4274799869,69.063208349
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,72.0,68.7803910616,69.7872813991,70.2834860724,68.8825140907,70.3587022985
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,72.0,68.2259296159,68.800966765,69.0665833803,70.0055114371,69.260163383
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,72.0,69.5941011314,68.8985560015,67.9972587139,68.127861297,68.7062133498
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,72.0,68.5957643147,68.436478462,67.3077413025,67.4749306979,70.3488389196
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,72.0,67.9717061635,67.348143221,68.553677508,69.2032994112,67.3434564152
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,74.0,72.2768192234,71.5380723407,71.9527279577,72.3696753657,72.6769740049
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,74.0,72.4085743069,72.1618059618,71.8122688139,72.4505252964,71.7468273915
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,74.0,71.0761291047,70.9131589487,70.520267147,71.4055712053,70.9726754235
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,74.0,71.00867571,70.5215910603,71.0398237996,71.2146141811,71.2763934345
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,74.0,71.0256607761,69.8065037532,69.3107852234,70.7570761853,70.728446229
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,74.0,69.7264763963,70.499388453,69.3600453362,70.0068915483,69.2406349703
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,74.0,67.7237621512,69.4818847262,69.3529738769,70.1342163628,70.0584207851
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,74.0,69.5150226325,69.067304804,68.4034289087,68.9718127069,68.8898740444
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,74.0,69.4191859856,67.4795715925,67.3132995156,69.3235633886,68.6984247769
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,74.0,68.1363523532,68.7175263682,69.3174430276,67.8731279615,67.4267192242
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,74.0,68.9527269566,67.7229250628,68.6527215113,67.2957517235,68.3584765399
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,76.0,77.8750567823,77.4557449262,78.1979177218,79.0357803227,77.797145432
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,76.0,77.3095981589,77.1579824991,76.71705319,77.2929999885,77.5535687033
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,76.0,77.7809607128,76.4505003691,76.8890433858,76.2510051963,76.3562237532
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,76.0,76.4968868719,74.9310288997,76.8036562133,76.4455670973,76.9038305934
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,76.0,76.6205590091,75.4212788411,75.1245869732,75.1956537368,76.4336603996
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,76.0,75.5328365979,76.3176011808,75.5889254476,75.6910547477,75.3807370087
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,76.0,76.3107914854,74.5755983011,75.5415764196,75.6383611771,75.1124391005
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,76.0,74.5808051248,75.2446597283,75.5009277577,74.9120314152,75.1904675392
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,76.0,74.4408207714,73.9205237574,75.772431036,75.8407585263,74.9236670486
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,76.0,74.6506375285,75.1826375918,74.2585484791,74.4418886075,74.0437805544
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,76.0,74.3921542415,74.2595568498,74.9057781986,73.7537992671,74.3504266385
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,78.0,82.8862325315,81.7511876924,81.2859205867,81.9205738757,81.8659904628
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,78.0,82.2248020989,82.0985026494,82.5366064287,81.4015006207,82.228074657
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,78.0,81.1960707879,81.3589830051,82.3991171273,81.4765161932,80.9535023667
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,78.0,80.4342478314,81.511430582,81.0838302707,81.0725843724,80.7144350648
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,78.0,81.6463901779,80.7954732822,81.370955354,81.0758074533,81.7607027323
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,78.0,80.5817160251,80.1600332791,80.2404554041,81.045941729,79.9844939742
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,78.0,80.6490655856,80.6718616527,80.2719182469,80.0859365572,80.9397763044
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,78.0,79.5435543376,79.7052421037,80.3699447073,79.4005524881,79.6668738709
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,78.0,79.9253538466,80.1897221795,79.4472181896,79.2286920154,79.3126201155
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,78.0,79.4814020149,79.4503473262,78.6020356192,79.6405682245,79.2902141867
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,78.0,79.5182486923,79.5750963857,80.0522695216,78.8006344771,78.7424832067
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,80.0,81.8885677502,81.869291983,82.3532816443,82.6755566014,82.3338620121
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,80.0,81.70196007,81.7999329683,82.2968422685,82.1576919118,82.0756802594
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,80.0,81.6971692591,82.3928205771,81.5273702247,82.1958884884,82.2639897485
