n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,175.0,100.0,64.0,27.7582991216,27.1831994913,26.3798575594,27.8216790165,25.6184022247
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,145.0,100.0,66.0,36.277352574,36.8281765542,35.8606199793,37.0506197948,36.6810218127
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,145.0,100.0,66.0,36.0050991767,36.0710953262,36.1885661404,35.9016065238,36.78927371
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,145.0,100.0,66.0,35.8541720481,35.8036121454,34.8650242158,37.837595929,36.7404240454
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,145.0,100.0,66.0,36.8799458698,36.6477755086,33.7070841915,35.6353969605,35.4766464393
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,145.0,100.0,66.0,34.9415432403,35.7825283771,34.1070042767,33.6235141844,33.6633412751
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,150.0,100.0,66.0,35.1143519169,34.9106773885,35.2843636084,35.3307675556,35.1752526707
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,150.0,100.0,66.0,34.2558658804,35.2442940695,34.8651883612,36.2136755307,34.3413166259
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,150.0,100.0,66.0,34.2535548766,36.197031695,34.8301446277,34.1913460953,34.2860130373
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,150.0,100.0,66.0,33.8884814775,34.2166827285,36.3384139515,35.9751257252,33.1216134351
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,150.0,100.0,66.0,35.0026090803,34.7630333544,31.6925016372,34.276709538,33.7774311796
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,155.0,100.0,66.0,34.6407876456,34.3199851686,33.7719447382,33.473922622,33.9492909255
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,155.0,100.0,66.0,33.6071164535,34.0054531992,34.3884414692,32.7893955538,34.6564105324
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,155.0,100.0,66.0,33.8540834775,35.2300165233,36.8033214122,32.8583942916,32.8625483775
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,155.0,100.0,66.0,36.3620197635,34.1417158116,31.6352980689,32.3705470403,32.4529683445
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,155.0,100.0,66.0,35.3523087443,31.3130083063,33.5456851935,32.6758803027,33.0843743347
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,160.0,100.0,66.0,33.3936781393,33.147029881,33.0547333195,31.9444500109,32.7701477941
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,160.0,100.0,66.0,33.496430206,31.5992411707,33.1727299025,32.4821068434,33.9391102518
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,160.0,100.0,66.0,34.3245887507,32.4895244761,35.0088713497,31.1646664913,33.9949720922
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,160.0,100.0,66.0,32.93155781,31.6472690939,30.34630433,32.3787746914,31.0368790162
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,160.0,100.0,66.0,34.1740059302,33.7980776954,32.2355849433,32.6889808956,31.7287375707
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,165.0,100.0,66.0,32.0961875551,31.7459309105,31.5814915355,32.1549261349,31.5378482873
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,165.0,100.0,66.0,31.8145446316,31.8611823193,32.3589223185,32.259882604,31.817685328
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,165.0,100.0,66.0,32.4456218529,30.5233058174,30.7114076737,32.7530381482,33.2486211001
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,165.0,100.0,66.0,32.7598595666,31.2449634576,31.6356400394,33.4247502767,34.4954976461
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,165.0,100.0,66.0,33.1420135705,35.0263708502,30.5906586537,30.1414110966,30.9556451815
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,170.0,100.0,66.0,30.6919515407,30.8817249307,31.1053755176,30.8416897301,30.5119059605
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,170.0,100.0,66.0,31.308852238,30.2990862249,31.8435498404,31.743272975,30.2056249553
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,170.0,100.0,66.0,30.4699148572,29.8022464653,30.9172937542,31.4494943396,32.4915542715
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,170.0,100.0,66.0,32.1781332652,32.35594937,29.4137408615,31.3320190133,30.1210914595
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,170.0,100.0,66.0,30.8443057371,32.010763103,31.8513022517,31.957856977,31.0681305968
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,175.0,100.0,66.0,29.7928611472,29.7502647717,29.5050032601,30.5736808598,30.2773295232
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,175.0,100.0,66.0,29.9025596085,31.0260351584,31.4269441437,29.9397172624,31.5438027573
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,175.0,100.0,66.0,31.8438913736,29.0380535282,29.6306019928,29.8682660091,32.0223244514
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,175.0,100.0,66.0,31.5854310661,32.4812299485,31.0914646746,29.7057852792,31.1577532264
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,175.0,100.0,66.0,31.4012520633,32.2600796873,31.9611004828,30.0763069398,30.1620215183
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,145.0,100.0,68.0,42.0338464387,42.4173797506,41.6569915542,42.3237351804,42.156175305
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,145.0,100.0,68.0,41.4429576336,40.4830834432,41.6668294687,42.1062102048,40.5883011617
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,145.0,100.0,68.0,40.8590291002,40.809944969,42.6973277315,40.0025040307,40.7160475919
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,145.0,100.0,68.0,37.4596941146,39.5781569393,39.4231929307,41.3083234614,40.5693815922
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,145.0,100.0,68.0,36.6198367116,38.6152309626,38.1168428924,38.1358950169,39.2843399975
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,150.0,100.0,68.0,40.1582017029,40.1023925115,41.2872606153,40.6194652807,40.4027075641
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,150.0,100.0,68.0,39.3226304033,40.5146033712,39.977346451,40.0710990188,40.0594222493
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,150.0,100.0,68.0,37.8056278722,40.8126653735,40.1028885395,40.4691189679,41.1057687666
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,150.0,100.0,68.0,37.8840892219,42.1599839741,38.3805821096,36.9544304449,38.5151192128
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,150.0,100.0,68.0,36.8630448885,37.7005409331,38.3929084181,39.0141368708,37.4824879827
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,155.0,100.0,68.0,39.1954648441,39.8862402314,38.8187778843,40.1327135009,38.7406971627
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,155.0,100.0,68.0,39.5204312157,39.2363103704,38.1329578163,39.4624954019,38.7890869269
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,155.0,100.0,68.0,39.2847940121,38.4609841871,38.4104543951,40.897219153,39.622087773
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,155.0,100.0,68.0,36.3303287056,39.1037853322,36.1749632126,35.8581209838,36.7893285818
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,155.0,100.0,68.0,34.6018486991,37.6703465902,36.7536107051,39.0881875908,39.8639729661
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,160.0,100.0,68.0,38.3573202786,38.5988324006,38.0215121194,39.4441588735,38.2701923809
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,160.0,100.0,68.0,39.7110827666,37.9451963864,37.8557893435,38.3511146505,38.8083920289
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,160.0,100.0,68.0,36.8307908717,37.2575462623,36.9333005287,37.5075388581,36.8502683924
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,160.0,100.0,68.0,38.6004762328,36.1121421799,34.6276227397,36.4703743684,37.8843898462
