n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,72.0,83.9498089048,82.5636682896,82.2078558403,83.1589536105,83.2956500315
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,74.0,87.343526498,87.3899901147,86.9414848014,87.6846338919,87.0321590992
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,74.0,87.5874827646,86.9406878366,86.6825137469,86.9408570078,86.8867714255
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,74.0,87.3863319852,86.9467995561,86.8609301798,86.6691903945,86.5418699146
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,74.0,86.3531529792,85.9486518719,86.4628488274,87.4439002126,86.9327278861
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,74.0,86.741796234,86.670557701,86.4529235369,86.5839385156,86.3843021175
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,76.0,90.5900028808,90.2436304505,89.9086199234,89.9902862432,89.8848688034
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,76.0,89.7188805833,89.6594911886,89.4187670973,90.3075708305,90.0095473836
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,76.0,89.9983858442,89.7557689443,89.2347449152,90.2810404302,89.2171392518
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,76.0,89.1735479329,89.0698621348,89.306958295,89.1534153026,89.1132743755
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,76.0,89.531400009,88.9271709633,89.0720742609,89.1392556332,89.2711286942
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,78.0,92.0359282355,92.0401326203,92.1392036002,92.0855090559,91.8655238035
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,78.0,92.2088658867,91.3774068698,91.8261310137,91.9766753367,92.1507518718
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,78.0,91.7165892566,91.8712230086,90.8639558056,91.4625978976,91.5325029689
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,78.0,91.2581089009,91.704157467,91.8442791052,91.1736563168,91.3307370007
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,78.0,90.8424751512,91.5127570965,91.0582910726,91.5758769053,90.8339661946
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,80.0,93.6377105032,93.720171898,93.374296747,93.5419257,93.7707515447
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,80.0,93.5093984995,93.3963698598,93.9894660731,94.0555080393,93.3179598404
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,80.0,93.3433408773,93.6131184351,93.3378932273,93.6963906639,93.4945587497
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,80.0,93.1716635093,93.3558968994,93.0833544608,93.0907363186,93.2379657302
