n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,70.0,42.9954066253,43.3626608078,42.5644467721,42.8891206485,43.557009591,43.3212470554,44.1404566083,44.1819504397,43.4844037159,45.7927220856
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,70.0,43.0042888926,43.4914793402,42.1726027414,42.7153715508,42.8046932804,42.4736809256,43.7564222805,42.7202962876,42.2206248141,42.9403039487
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,70.0,41.2851154183,41.0986812033,41.7964792353,41.7250274086,41.2520061078,42.2591936192,41.1528474769,41.7818616702,40.9747149135,42.0172374048
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,70.0,40.4611223356,40.9069456297,41.0868777965,40.6221489128,41.4324401213,40.7657335528,41.7347875132,40.3409821326,39.4972179378,39.6163499927
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,70.0,39.6461140465,38.643342231,39.8891635271,40.1677026187,37.9639205448,39.7586835201,39.5376809066,39.8611575746,39.3421565978,39.3814318497
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,72.0,49.3613839136,49.8759782556,50.4243630202,49.4848448006,49.5514732937,50.5261093106,50.5225408319,49.8168712545,49.6178863587,50.7473033118
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,72.0,49.244529884,48.3062571942,49.1873928372,48.979306307,49.1279544656,50.0782347836,48.9719268502,47.6296860136,47.7152972033,49.0035558104
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,72.0,48.1171912113,47.9949973739,47.9701978804,48.7389077334,48.9706179958,47.9119534824,48.0757196006,48.4431958425,49.570693386,48.0814054647
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,72.0,46.5022818665,47.1640817487,46.7405949093,46.1813605815,48.4434206444,46.8526966835,46.9582655946,47.2509897366,48.0220464324,46.9864581679
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,72.0,47.1795663288,46.2762926889,46.2545009108,46.1050087538,46.3852091035,46.2671621727,46.6840561459,46.0157641508,45.4561299962,45.3560582218
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,72.0,44.6189019022,46.3845179307,44.0292310438,45.4378925602,45.0619745005,45.251085491,46.1689840522,44.2429597508,45.2470634724,44.3170602112
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,72.0,44.1744017086,45.1037549794,43.0249921611,43.8923477136,44.5578289259,44.1696483171,44.0440238584,44.4091644428,45.8128318958,44.9450760094
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,74.0,55.527794611,54.6657351584,55.7418186079,53.0218055443,54.8669698808,54.7024998295,54.3420421817,54.474542972,53.2724504558,54.2537196064
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,74.0,54.1489656848,53.4287075836,53.269084693,53.482495433,53.6181818202,53.5645364193,53.0688136751,53.2658979655,51.9205369532,53.4518261915
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,74.0,52.5840016107,53.2505071475,52.6687994951,52.8740155991,51.6378820692,52.7352133309,52.3949787647,51.70908702,53.4403934229,53.7427727934
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,74.0,50.6147385682,51.3557227187,51.7615627944,50.9484553536,52.1899659667,50.8746317094,51.7047959451,51.4202213794,52.6028704274,51.2306951831
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,74.0,50.2538121337,50.3272024297,51.5197185925,51.2856953386,48.948670013,49.9367299512,50.3048321059,50.4257307523,49.9835026295,51.0532284192
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,74.0,50.5916628365,50.0691865912,50.6906360627,49.2243147286,49.3952151351,49.5163975017,50.5628600222,48.9554716614,49.6111080515,49.3089742735
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,74.0,48.7722033213,47.7971615008,48.9181416827,48.1711512649,49.2034870781,48.7724673389,49.7957688797,50.2048699803,48.7437432075,49.1010929306
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,76.0,58.0184380816,58.4231192543,59.1236491882,58.9068248518,57.8874388165,57.9376508322,58.9551673479,58.5332799575,59.2659740492,58.7991105705
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,76.0,58.0350781631,58.0981510153,57.2981860397,57.2431486104,58.2077765393,57.2001094379,59.1215077203,57.5074565314,58.2371752619,57.9736989076
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,76.0,56.3997322299,58.0748800558,56.7883122581,56.4869145193,57.247644602,56.4324413127,55.993679216,57.675203269,56.7303451105,56.8971020816
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,76.0,56.2842312604,56.2982012445,55.1389237889,56.4826279319,55.6898437565,55.2293180861,56.932102723,56.432494799,55.0292027899,56.6575062342
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,76.0,55.5150923001,53.8734839843,55.1731935124,55.8995287534,56.1264540394,55.5282844714,55.8670414804,54.7909572568,54.8419502272,54.4697478992
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,76.0,54.0686604313,53.8005332294,53.1823240906,54.187056471,52.3355144296,53.9793390058,53.1077010404,54.6288460326,53.4125052213,54.9679878813
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,76.0,52.3984128081,54.4028786252,52.8028909671,53.0705696437,51.9157613878,53.3976766573,53.798776915,52.5563159682,53.4204955591,53.0003917531
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,78.0,62.4876731915,63.4598886,62.138494416,61.483000055,63.4873076969,62.0785252088,63.1824038159,63.3569120561,62.4866133325,62.3017620531
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,78.0,61.9768869092,61.5818409336,61.3091247435,62.010262996,62.082339388,61.2057554258,60.7600795189,62.2805105278,62.2442019816,61.5771469451
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,78.0,61.4987830496,59.8162598725,61.0485875395,60.8922256343,61.0905501521,60.5606818753,60.9739937807,60.0792749228,62.1267222392,59.8943314668
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,78.0,59.8860744789,59.74952268,60.5650752611,59.8878383883,59.2688412996,59.3156729741,59.0860247689,60.36837528,59.5991655412,60.528420032
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,78.0,58.8291240402,57.8255994351,59.9415442816,59.0296991442,57.8631510883,59.2573000314,57.9253487037,59.9284764618,59.3282803067,59.0005852847
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,78.0,58.7128301903,58.8998968886,58.1393657053,58.2820839444,59.2057388957,58.204737476,57.9137940566,59.6888524332,59.2142366797,58.2731877585
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,78.0,57.0392979623,56.5305102307,57.7668894362,56.5794707008,58.5231313279,57.0049941765,57.2867324638,57.2014337741,58.114391685,57.8175320304
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,80.0,65.9859624087,66.5927159069,66.5092815421,65.6818872356,66.1897595869,66.3166196093,65.8855415377,65.7341139385,66.1462171222,66.399710736
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,80.0,65.0647885255,66.3301679191,65.8712187841,65.9362416642,64.5918248116,65.333906479,65.7571489198,65.7831781114,65.4818901225,65.0148210743
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,80.0,65.2962485872,64.3242095653,63.8209124199,64.8727186315,64.2297129361,65.7562743934,64.4972729552,65.3001355723,65.0672464401,65.2143725432
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,80.0,63.7451286075,63.8429673842,63.7821116758,63.6305710252,64.483188976,64.0111359699,64.1499577553,62.7586658238,63.5190356749,65.0871938078
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,80.0,63.151484063,63.4931079284,63.133167625,62.4724094484,63.1673090038,62.7687780773,62.0870150493,63.3437976966,63.3929389001,62.7876028602
