n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,165.0,100.0,68.0,37.5904566967,36.9014911862,36.6898412233,36.5394212727,37.4037988708
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,165.0,100.0,68.0,36.3693195304,35.1406396772,35.3244638834,35.3459388238,32.8831357109
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,170.0,100.0,68.0,34.9830974835,35.8820831979,35.6170022445,35.7556277522,35.9542573319
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,170.0,100.0,68.0,34.3282383051,33.619459179,36.3943760229,35.344525544,34.7331262888
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,175.0,100.0,68.0,34.4055912081,36.2018121432,35.5297261247,33.8318731642,34.9862102699
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,175.0,100.0,68.0,35.5332651195,33.6170503046,33.7379830411,34.0244268866,34.1224073447
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,180.0,100.0,68.0,34.0568419274,33.5886299194,34.3413369318,33.8563134255,34.6406179064
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,180.0,100.0,68.0,32.7928541807,31.6412698936,33.7149872872,32.8981147609,32.2817584496
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,150.0,100.0,70.0,43.8063337609,44.5771424113,44.0811332541,44.8127843683,44.6888792514
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,150.0,100.0,70.0,41.7967500174,39.347160532,40.7042236811,40.8407080651,41.7658628095
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,155.0,100.0,70.0,42.6140779537,43.5712709674,43.9204929045,43.1039171162,42.5010770922
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,155.0,100.0,70.0,40.6196233478,40.7010694581,41.4997290448,39.3649281933,40.3378394417
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,160.0,100.0,70.0,42.1493034184,42.8376098538,42.2346072876,41.1550981422,42.1644387512
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,160.0,100.0,70.0,40.8244650956,39.8697828472,39.0189578476,40.0640857331,38.723980182
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,165.0,100.0,70.0,40.3931754411,40.497941816,42.1122927647,41.8403749429,40.3083841337
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,165.0,100.0,70.0,36.2546479389,40.9676519417,38.9315746576,39.3517789655,36.6321061245
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,170.0,100.0,70.0,40.804456925,41.7523232121,40.4552403216,40.2662509878,41.5268608255
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,170.0,100.0,70.0,37.4233895072,38.1495353765,38.0313537481,37.4803505507,36.4657836833
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,175.0,100.0,70.0,41.2512262686,39.2495388133,40.4083602759,39.1167344747,39.7713161713
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,175.0,100.0,70.0,36.4216110395,37.7144017883,37.5449651716,37.0380285559,37.1283236028
