n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,68.0,18.9087868954,19.9821775411,20.1287284073,20.0788145585,18.413761726
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,68.0,18.9385315495,19.0897736867,18.0703900115,18.5150929638,18.6144906386
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,68.0,17.6577892127,17.9721656408,18.2299101626,18.3709017593,19.4898422903
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,68.0,18.6130058992,18.1405481521,18.7357310709,17.5095316361,17.7288931112
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,68.0,18.0668120475,18.6268815161,18.680884768,17.0691425086,17.9636394285
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,70.0,26.474668741,26.5744613279,25.9118219791,27.5439886144,26.7625854222
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,70.0,26.5424550237,25.7535264317,27.2042570561,26.1461569755,26.4714586177
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,70.0,26.1724722834,25.6829899792,24.4642368024,27.4239313301,25.2210848385
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,70.0,28.0092731216,24.5409087114,24.4137970998,24.734083559,25.4943619024
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,70.0,25.0540328671,24.6545052972,23.3324135676,23.7017054572,25.2323023797
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,70.0,24.9176392214,24.7245098155,24.8605705676,25.519000775,23.6243721457
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,300.0,100.0,70.0,23.044284935,23.656904433,24.3706174066,25.1193398591,22.5633759097
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,305.0,100.0,70.0,23.3738619122,22.0297233933,23.7609985555,23.5604811967,22.3616377107
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,70.0,23.6463772812,22.4178852692,23.9370878467,22.6202400499,24.6705200418
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,70.0,24.3180317371,24.0868208716,23.9780973406,23.1225493159,22.8882374813
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,70.0,22.0656290353,22.2670088113,22.1024065019,22.655189537,23.0660129913
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,70.0,22.9757384237,21.8669263803,22.120272619,20.0103359997,20.8322918838
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,70.0,21.5424402005,22.088954331,20.4283409695,22.8301830885,21.7765104979
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,72.0,32.1675717452,32.5868428019,29.7322238277,31.0540200004,31.3909038986
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,72.0,30.6224201478,30.5786829949,29.5117219493,32.3900737375,28.801832781
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,72.0,30.3604599461,33.322267549,31.0908292197,28.8668344659,31.2063837424
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,72.0,29.5251175481,29.687084491,30.9512087125,29.9089962342,29.7784703689
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,72.0,29.8230860012,29.0969351288,30.3843495207,28.5738190222,28.1769531083
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,72.0,28.0011914662,28.9387600712,29.0985216713,28.7473859051,28.1769809865
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,300.0,100.0,72.0,27.3991032424,28.0859849034,26.9341203904,28.1795643831,28.2087040643
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,305.0,100.0,72.0,26.7783766901,26.2469033882,27.3963877861,28.0115788672,27.1835531747
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,72.0,26.1641254471,28.1145279424,28.0899781119,27.7233006087,27.6115916628
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,72.0,27.5071840122,26.2572951754,27.3400907741,27.6397600844,27.0685391445
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,72.0,25.8094006934,25.9764678594,27.1182650406,25.4991580357,26.2076464563
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,72.0,25.9347412915,24.7287224558,25.6304262304,26.4446342235,25.4744659698
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,72.0,24.6108189949,25.6636324234,24.2181435742,25.8919456054,24.6926294165
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,74.0,36.4778556785,34.9459185675,34.5591417036,35.1373902735,36.2623823048
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,74.0,35.2023530419,35.2398696761,34.947516554,34.4820757232,34.6921280193
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,74.0,34.7878081331,33.1453023665,35.3631335667,34.2948109766,33.6271742113
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,74.0,32.7708395961,33.6653744634,33.8068236607,32.4707903384,33.3672854983
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,74.0,32.4514098451,34.6196780208,36.0701721892,33.6750825607,33.811076536
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,74.0,33.3300068034,31.9518283809,31.2083628825,32.7301045005,32.7323017038
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,300.0,100.0,74.0,32.2683355258,33.7894430302,31.6338532249,32.7287452004,31.326256771
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,305.0,100.0,74.0,29.9483081637,31.9337596866,31.7378467051,30.7926103691,31.2413858186
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,74.0,31.7476804058,30.488772195,32.5663866743,32.284191635,31.69786599
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,74.0,32.3288662947,31.2212880882,31.7300347771,30.6314063487,30.6136868753
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,74.0,30.595026256,31.6949122965,29.9500615063,31.4405131276,29.5881224759
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,74.0,28.3786470821,30.8247289179,30.5014849719,29.1852454163,30.3654280158
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,74.0,29.856527398,29.7398286493,30.627056856,30.9694921434,30.0596952338
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,76.0,39.7675310593,37.5516580413,38.3354256482,41.1058303909,39.7844707056
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,76.0,39.0692161697,39.1318440465,38.8391260558,40.7271202216,40.9309398089
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,76.0,40.2621482871,38.869029512,37.9587186442,39.9775128239,40.0591128987
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,76.0,37.1095198074,39.9906949329,38.9577769433,40.0645034457,39.5141712612
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,76.0,36.1323041073,39.1951319803,37.8511729391,38.289564996,38.0434636782
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,76.0,37.289957544,36.9900727359,37.5148831232,36.8188796752,35.4560850509
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,300.0,100.0,76.0,36.4256816044,36.1518842462,35.9602812662,35.6823869757,36.5732638785
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,305.0,100.0,76.0,36.976519014,35.1292910571,37.3739412015,38.319299475,36.0358991142
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,76.0,36.2650847438,35.4466743738,36.8962452596,35.1990875617,33.9118800645
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,76.0,36.9798731452,36.2017129661,35.4774302407,35.1994768237,35.4269074644
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,76.0,34.4714938471,36.2190007196,36.0121955063,33.9433886957,35.4661620604
