n,k,alpha/beta,alpha/beta SD,d,d_shift,d_sd,n0,max_d,dose_of_interest,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCP_mean,TCP_sd
100,20,1.5,2,2,-5,0,200,100,66,43.63966967,38.75722431,38.75722431,42.47709793,42.47709793,47.88900594,47.88900594,40.18420172,40.18420172,45.58642967,45.58642967,44.2144814,44.2144814,47.69172328,47.69172328,35.40419861,35.40419861,45.15532672,45.15532672,40.03303109,40.03303109,44.84160827,44.84160827,39.53043974,39.53043974,49.86531398,49.86531398,47.51160591,47.51160591,41.17397348,41.17397348,48.99769393,48.99769393,46.29442096,46.29442096,42.06855121,42.06855121,50.5058095,50.5058095,49.61666264,44.24051519,4.080596658
100,20,1.5,2,2,-5,0,200,100,68,49.61666264,49.21131422,49.21131422,47.08568503,47.08568503,47.49131596,47.49131596,43.29005885,43.29005885,45.90491507,45.90491507,41.75456618,41.75456618,46.9603019,46.9603019,46.79277002,46.79277002,48.29938483,48.29938483,45.57636889,45.57636889,45.33346611,45.33346611,46.59339051,46.59339051,51.41839117,51.41839117,47.50618523,47.50618523,53.1857241,53.1857241,49.85324637,49.85324637,41.52026074,41.52026074,50.84726859,50.84726859,50.86683832,50.86683832,51.89736274,47.51242324,3.085826117
100,20,1.5,2,2,-5,0,200,100,70,51.89736274,51.88244161,51.88244161,48.08391976,48.08391976,42.34978254,42.34978254,48.08436706,48.08436706,47.43368809,47.43368809,51.1239508,51.1239508,55.08752053,55.08752053,47.59799586,47.59799586,54.05841126,54.05841126,46.90148081,46.90148081,54.95187495,54.95187495,47.59625232,47.59625232,54.23031461,54.23031461,51.62569373,51.62569373,44.49346467,44.49346467,47.24441873,47.24441873,48.30019713,48.30019713,50.95902425,50.95902425,53.43227244,53.43227244,51.78252534,49.86385076,3.480975732
100,20,1.5,2,2,-5,0,200,100,72,51.78252534,52.01294018,52.01294018,57.48439502,57.48439502,54.54181558,54.54181558,61.95018278,61.95018278,57.63812735,57.63812735,50.8641819,50.8641819,55.86516049,55.86516049,53.81664606,53.81664606,54.59510048,54.59510048,48.75887496,48.75887496,55.42852814,55.42852814,55.43698196,55.43698196,49.27132763,49.27132763,55.29482663,55.29482663,52.47605617,52.47605617,55.15585624,55.15585624,51.88722267,51.88722267,54.75615133,54.75615133,57.92982307,57.92982307,54.20678864,54.40794278,3.044875698
100,20,1.5,2,2,-5,0,200,100,74,54.20678864,55.46734067,55.46734067,59.08130835,59.08130835,57.74871722,57.74871722,56.0735008,56.0735008,56.85636811,56.85636811,54.07148954,54.07148954,60.03944925,60.03944925,57.67013849,57.67013849,55.31318663,55.31318663,59.20388573,59.20388573,61.99236973,61.99236973,58.98010603,58.98010603,57.13759805,57.13759805,59.99210715,59.99210715,55.30317311,55.30317311,49.28222846,49.28222846,58.31232416,58.31232416,55.53850322,55.53850322,57.03161478,57.03161478,55.44594378,56.99608878,2.676876109
100,20,1.5,2,2,-5,0,200,100,76,55.44594378,60.10603829,60.10603829,58.93309325,58.93309325,60.84936292,60.84936292,57.20393935,57.20393935,58.41238385,58.41238385,56.6908398,56.6908398,55.20947929,55.20947929,60.08699534,60.08699534,59.46381955,59.46381955,60.29873353,60.29873353,57.5102261,57.5102261,59.95466988,59.95466988,68.23101855,68.23101855,61.3920089,61.3920089,55.26353246,55.26353246,59.38564788,59.38564788,64.32848258,64.32848258,65.39511889,65.39511889,55.34968935,55.34968935,64.09193103,59.69170086,3.402223195
100,20,1.5,2,2,-5,0,200,100,78,64.09193103,65.22966111,65.22966111,64.99697136,64.99697136,57.16679147,57.16679147,65.04638432,65.04638432,67.1558374,67.1558374,61.43125325,61.43125325,67.53694687,67.53694687,59.11556252,59.11556252,61.14816139,61.14816139,70.28397183,70.28397183,63.07526599,63.07526599,64.55467946,64.55467946,62.13264716,62.13264716,61.41834587,61.41834587,66.43555206,66.43555206,67.46479868,67.46479868,64.2215341,64.2215341,60.66829579,60.66829579,69.2753425,69.2753425,62.74849456,64.0889108,3.314360951
100,20,1.5,2,2,-5,0,200,100,80,62.74849456,69.28338919,69.28338919,64.132019,64.132019,66.2439766,66.2439766,68.5003105,68.5003105,61.17248766,61.17248766,67.48194975,67.48194975,61.97480729,61.97480729,71.461672,71.461672,66.38237957,66.38237957,61.54129591,61.54129591,67.19519721,67.19519721,60.86442172,60.86442172,62.88557753,62.88557753,69.74385063,69.74385063,63.90008558,63.90008558,65.12190829,65.12190829,60.02449271,60.02449271,62.40774167,62.40774167,63.30731864,63.30731864,65.11010182,64.87770898,3.203066584
100,20,2,2,2,-5,0,200,100,64,65.11010182,58.83383185,58.83383185,55.21151855,55.21151855,58.54737788,58.54737788,56.66029294,56.66029294,54.66336593,54.66336593,61.34134377,61.34134377,59.10060422,59.10060422,58.67614102,58.67614102,59.41779898,59.41779898,55.62180131,55.62180131,61.13442807,61.13442807,54.77192533,54.77192533,56.73542038,56.73542038,60.11904555,60.11904555,51.88467786,51.88467786,55.19110002,55.19110002,56.74921609,56.74921609,54.24583319,54.24583319,54.60711635,54.60711635,57.72888251,57.24661657,2.783441342
100,20,2,2,2,-5,0,200,100,66,57.72888251,58.71852884,58.71852884,59.28986317,59.28986317,54.80238491,54.80238491,60.83566326,60.83566326,57.61902962,57.61902962,57.64457639,57.64457639,64.69028084,64.69028084,59.09626786,59.09626786,60.57623899,60.57623899,67.0884226,67.0884226,59.67920964,59.67920964,62.53916579,62.53916579,64.64975859,64.64975859,65.52099728,65.52099728,64.01069591,64.01069591,62.02231443,62.02231443,62.843243,62.843243,59.14965549,59.14965549,66.96746204,66.96746204,65.35936819,61.4643942,3.35187784
100,20,2,2,2,-5,0,200,100,68,65.35936819,62.71013666,62.71013666,61.20659008,61.20659008,66.7444149,66.7444149,68.59133067,68.59133067,67.46184116,67.46184116,65.51571167,65.51571167,65.53369395,65.53369395,61.18062573,61.18062573,60.51000151,60.51000151,69.98849021,69.98849021,69.21116979,69.21116979,66.15647592,66.15647592,67.6507976,67.6507976,67.30833212,67.30833212,69.60856567,69.60856567,62.90174357,62.90174357,62.42443953,62.42443953,68.16438024,68.16438024,64.07813595,64.07813595,59.84431913,65.47743603,3.042853697
100,20,2,2,2,-5,0,200,100,70,59.84431913,63.10353176,63.10353176,69.04315043,69.04315043,68.64969995,68.64969995,60.92988098,60.92988098,67.77210215,67.77210215,70.78020573,70.78020573,72.43443814,72.43443814,66.813537,66.813537,62.25031415,62.25031415,67.11365951,67.11365951,64.62326114,64.62326114,68.21350592,68.21350592,65.81782818,65.81782818,72.2759274,72.2759274,67.09156198,67.09156198,72.17952198,72.17952198,68.00437631,68.00437631,67.10867807,67.10867807,69.58372576,69.58372576,65.38680443,67.32022342,3.329338537
100,20,2,2,2,-5,0,200,100,72,65.38680443,64.79123206,64.79123206,70.60440713,70.60440713,69.59368924,69.59368924,71.68168021,71.68168021,78.0428173,78.0428173,70.38541354,70.38541354,69.75637596,69.75637596,63.11593989,63.11593989,68.42206976,68.42206976,69.72582258,69.72582258,70.69014109,70.69014109,70.24915014,70.24915014,70.37729111,70.37729111,70.03694897,70.03694897,73.66277772,73.66277772,72.18680497,72.18680497,72.57489398,72.57489398,72.95641847,72.95641847,70.71471824,70.71471824,75.10766552,70.49079137,3.154113778
100,20,2,2,2,-5,0,200,100,74,75.10766552,71.3404967,71.3404967,79.80389124,79.80389124,72.34570762,72.34570762,75.71145043,75.71145043,76.25504209,76.25504209,76.74206065,76.74206065,78.11154276,78.11154276,68.6477363,68.6477363,72.28575985,72.28575985,72.48874782,72.48874782,72.01816321,72.01816321,77.47392425,77.47392425,71.27180237,71.27180237,76.34283783,76.34283783,77.5129824,77.5129824,70.30682723,70.30682723,73.2649811,73.2649811,70.56293444,70.56293444,72.31229599,72.31229599,77.11444289,74.04551192,3.04412762
100,20,2,2,2,-5,0,200,100,76,77.11444289,78.05466265,78.05466265,71.01839171,71.01839171,73.68012793,73.68012793,72.63304112,72.63304112,78.93513861,78.93513861,74.59428217,74.59428217,75.17653534,75.17653534,73.77427251,73.77427251,75.27656911,75.27656911,75.7644467,75.7644467,72.31722538,72.31722538,76.12463885,76.12463885,75.81038084,75.81038084,77.70377102,77.70377102,73.33045721,73.33045721,75.16895011,75.16895011,75.12132864,75.12132864,74.12671436,74.12671436,79.53435156,79.53435156,75.86040551,75.2316355,2.150446113
