n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,70.0,80.3036306852,80.2198026298,79.0019960019,80.0054072799,80.29255996
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,70.0,78.8155872737,77.5462110991,78.5068881466,80.3846530492,79.0874312064
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,70.0,77.8727021608,79.0456457925,78.7210674919,79.5198057592,79.7195575151
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,72.0,84.6648618773,85.2815427465,84.3611511267,84.1278686783,84.6662688653
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,72.0,84.4360831726,85.1862456349,84.242353291,84.1474925711,83.7382490418
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,72.0,83.8226907412,83.3225152896,83.7746828087,84.7117121722,83.4310961743
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,72.0,83.8705920095,83.571850276,82.2774201532,83.5979272662,83.4071466107
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,72.0,82.6616920262,83.3701268966,83.0017994192,83.6995263876,83.7690089427
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,72.0,82.8574937101,82.3937749376,83.5912421493,83.5237517471,82.1402582847
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,74.0,87.9679641171,87.4686168687,87.3463352793,87.073929994,87.0612481319
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,74.0,87.5530562199,87.3771241909,87.6211082574,87.5633440053,87.2593914943
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,74.0,87.2932756608,87.3188039695,87.9637826105,86.8537256827,87.206546231
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,74.0,87.5090691659,86.3933115812,87.4632663116,87.645900664,87.2362665973
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,74.0,86.3149331435,86.3786946625,86.0838922739,85.5256984525,86.8136372057
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,74.0,86.1767930053,86.274195417,86.0866676008,85.9502231978,86.7208361424
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,76.0,90.4962909615,90.0315388861,90.1562217495,90.0038539102,90.0419077134
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,76.0,89.5122019566,89.80402189,89.47017632,89.4053563372,89.9421579064
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,76.0,89.8439736682,89.359195122,89.604182564,89.1461220729,89.7114214805
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,76.0,89.3257421162,89.7201164405,88.8546647143,89.8522778878,89.8492049074
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,76.0,89.0752065086,89.4278090916,89.3404036892,89.4376769376,89.8503684487
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,76.0,88.9942331428,88.5242157198,88.927264904,89.705096211,89.1273263949
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,78.0,92.3904755324,92.4214322678,92.4237490983,92.4359016338,92.4575537888
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,78.0,92.1110816931,91.772226897,91.9049525306,92.056765195,91.8025941889
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,78.0,91.7288834181,91.8292091246,91.1556360577,92.1138858455,92.2516247239
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,78.0,91.3531669585,91.6841252047,92.0222838132,91.3115567881,91.8369704621
